Finished creating model data!
Performing optimization, start time:  20:15:35 
Optimizing with theta = -1 
Optimizing with theta = -0.9 
Optimizing with theta = -0.8 
Optimizing with theta = -0.7 
Optimizing with theta = -0.6 
Optimizing with theta = -0.5 
Optimizing with theta = -0.4 
Optimizing with theta = -0.3 
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization
Beginning optimization

iter           f        nrm_gr                     status          rad  CG iter                  CG result
 100   5457.321323  396.957340   Continuing - TR contract     0.000014        3         Negative curvature
 100   5457.818634  152.530858     Continuing - TR expand     0.053575       16         Intersect TR bound
 100   5456.450003  309.479401                 Continuing     0.003968       10         Intersect TR bound
  90   5458.594896  121.780394                 Continuing     0.000196        6         Intersect TR bound
 100   5453.638172 2385.359662   Continuing - TR contract     0.023811       10         Intersect TR bound
  90   5457.722964  657.714653     Continuing - TR expand     0.169322       14         Intersect TR bound
 110   5458.467514  108.229903   Continuing - TR contract     0.001256        7         Negative curvature
 110   5454.723495  576.384879   Continuing - TR contract     0.011301       18         Intersect TR bound
 110   5455.727522 1178.088129   Continuing - TR contract     0.005023       16         Intersect TR bound
 100   5456.425568 1736.199533     Continuing - TR expand     0.964343       19         Intersect TR bound
 110   5451.953897  318.450780                 Continuing     0.020090       17         Intersect TR bound
 110   5457.180828  850.617064                 Continuing     0.030136       14         Intersect TR bound
 120   5454.379448  238.019221   Continuing - TR contract     0.000397        8         Intersect TR bound
 120   5458.461276   54.612751   Continuing - TR contract     0.000265        5         Negative curvature
 100   5454.63657713704.260009   Continuing - TR contract     0.005953       16         Intersect TR bound
 100   5456.924357  671.876047     Continuing - TR expand     0.642896       19         Intersect TR bound
 120   5455.604209 1679.202943   Continuing - TR contract     0.000706        6         Negative curvature
 120   5451.845355  103.907662     Continuing - TR expand     0.002825        7         Intersect TR bound
 110   5456.207454  562.708925   Continuing - TR contract     0.001883       15         Intersect TR bound
 120   5451.816501  803.779376   Continuing - TR contract     0.038141       20         Intersect TR bound
 130   5454.361566   11.495833   Continuing - TR contract     0.000112        3         Negative curvature
 130   5455.583340  172.308391   Continuing - TR contract     0.000298        6         Intersect TR bound
 130   5451.839991   41.447612     Continuing - TR expand     0.001192        6         Intersect TR bound
 110   5455.807922 1355.218825   Continuing - TR contract     0.003767       15         Intersect TR bound
 110   5454.395921  894.148174     Continuing - TR expand     0.002511        6         Intersect TR bound
 130   5451.712903  317.801250   Continuing - TR contract     0.000149        8         Intersect TR bound
 120   5455.985865   44.266934   Continuing - TR contract     0.000132        6         Intersect TR bound
 140   5454.353564   32.163519   Continuing - TR contract     0.001697        5         Negative curvature
 130   5458.039359  558.153244   Continuing - TR contract     0.024136       15         Intersect TR bound
 120   5455.379560   22.939288   Continuing - TR contract     0.000265        1         Negative curvature
 120   5454.394055   15.657069     Continuing - TR expand     0.000353        4         Intersect TR bound
 140   5455.296314  768.230860     Continuing - TR expand     0.162917       15         Intersect TR bound
 140   5451.517005  242.058401   Continuing - TR contract     0.003017       16         Intersect TR bound
 140   5451.649778  496.595712                 Continuing     0.009051       17         Intersect TR bound
 150   5454.330299  239.340526     Continuing - TR expand     0.012887       10         Intersect TR bound
 130   5455.378507   67.924946                 Continuing     0.000223        4         Intersect TR bound
 130   5455.890053  413.963618     Continuing - TR expand     0.048272       14         Intersect TR bound
 150   5451.435896   34.695584   Continuing - TR contract     0.001273        2         Negative curvature
 140   5457.053102  303.155815   Continuing - TR contract     0.183281       16         Intersect TR bound
 150   5451.577257   39.262505     Continuing - TR expand     0.000318        5         Intersect TR bound
 130   5454.383766  175.604180                 Continuing     0.001788        9         Intersect TR bound
 160   5454.082626  214.493118     Continuing - TR expand     0.005437        7         Intersect TR bound
 150   5449.45331020227.712712   Continuing - TR contract     0.034365       24         Intersect TR bound
 160   5451.433926   24.458105     Continuing - TR expand     0.000537        3         Intersect TR bound
 140   5455.359718   89.016073                 Continuing     0.000189        6         Negative curvature
 160   5451.574140   17.209645     Continuing - TR expand     0.000805        6         Intersect TR bound
 150   5456.728358 7079.919616   Continuing - TR contract     0.025774       21         Intersect TR bound
 140   5455.257529 1314.405221   Continuing - TR contract     0.001697       16         Intersect TR bound
 160   5448.273189  685.146889   Continuing - TR contract     0.002416        9         Intersect TR bound
